"COUNTRY_NAME";"COUNTRY_CODE";"INDICATOR_NAME";"INDICATOR_CODE";"Y1960";"Y1961";"Y1962";"Y1963";"Y1964";"Y1965";"Y1966";"Y1967";"Y1968";"Y1969";"Y1970";"Y1971";"Y1972";"Y1973";"Y1974";"Y1975";"Y1976";"Y1977";"Y1978";"Y1979";"Y1980";"Y1981";"Y1982";"Y1983";"Y1984";"Y1985";"Y1986";"Y1987";"Y1988";"Y1989";"Y1990";"Y1991";"Y1992";"Y1993";"Y1994";"Y1995";"Y1996";"Y1997";"Y1998";"Y1999";"Y2000";"Y2001";"Y2002";"Y2003";"Y2004";"Y2005";"Y2006";"Y2007";"Y2008";"Y2009";"Y2010";"Y2011";"Y2012";"Y2013";"Y2014";"Y2015";"Y2016";"Y2017";"Y2018"
"Haiti";"HTI";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;12,40230035344454;17,158218621339202;20,12757630435335;22,982946653583042;29,63935965635616;26,966472199878574;30,597102454397568;34,60387537497555;36,049503395446564;41,28882811141888;48,1521524878208;48,55989456919337;49,57348624881065;49,88145486608121;50,96829503794456;54,17886527228893;52,880123479620906;54,30421576796149;56,685109865456226;58,82422313306622;44,99480191630493;40,303337949773294;28,54964199687187;18,67850866577571;30,214979579709635;33,851871311160316;42,08834917291413;36,94334212470702;39,18713383019253;35,79949729471588;35,196465392059004;30,614051621231074;28,76370882857099;28,29643209624501;37,3017136603008;37,66806833972103;25,486218064294356;23,73898314221206;35,92553045780761;24,52428416730306;31,286137468911875;46,14215490692064;43,84331667768038;39,055805057688836;"";"";"";""
"Hungary";"HUN";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;1135,0092407962802;1219,513033797301;1306,3049130611307;1380,0950972692078;1467,3663909593452;1588,6189761760356;1711,3032728988574;1827,765553245284;1955,5111624699064;2070,1955964087215;2148,374962347701;2284,247364081385;2418,569217163248;2611,1806074074048;2638,6957135885214;2697,7565935669486;2738,5564096876656;2833,48753705443;2950,662722720496;3103,834377177931;3194,0949108122268;3268,3120105386693;3424,657211553547;3426,22984390959;3484,352137278246;3426,551100695316;3223,918869416006;3116,012869091681;2995,986588685345;3025,710709919557;3066,522153962183;3162,374876809167;3188,3819675766526;3215,679628152343;3321,4066283566444;3309,2837106284996;3426,7229024843596;3545,170755678337;3637,278331756429;3680,168466944081;3771,364613988311;3882,4906641301036;3976,5189771454825;3988,7676939304183;3773,1538066279877;3876,4910840705065;3898,8231426712746;3923,042324463563;3892,113701271252;3965,95823348335;"";"";"";""
"IBRD only";"IBD";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;249,82752040881311;266,7821582986277;284,23543590219396;295,21325036062063;319,0818560160821;338,2476513054615;359,3538871081698;385,64336271761;409,3083530869924;430,56814672519977;438,743630813456;453,3692730338564;473,99289585083585;502,9404124603505;524,660928736194;552,0623942779039;577,5540224479109;606,0477346712566;625,7867460798727;1019,4015053223784;1021,6940179564923;1012,1497253865991;1010,8940729045672;1014,0989410267184;1037,4264094856437;1064,7747135587592;1086,0295509189255;1094,8984528952499;1116,1106202119884;1165,9551806875286;1192,2571096128647;1245,4158584198303;1335,092050077913;1427,855745532453;1511,88177703512;1633,9056082118614;1756,3580301532988;1812,6356211812097;1853,8456250105758;2014,3116611153312;2161,134340352494;2238,0326015425508;2343,1123221498046;2407,1896759375213;"";"";"";""
"IDA & IBRD total";"IBT";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;224,1748033023519;239,3701035720246;255,03979659194846;264,96871764068385;285,70565834537155;302,1818899470154;319,9123059028895;342,09320012590314;362,5181196256701;380,5755027339703;387,3820770162247;400,70143509964106;417,4388065702001;440,79167352988156;460,8346789058324;484,35842690906566;505,85336194288624;530,1125630197406;546,8913183393377;897,0561922343393;897,7463049029251;887,187145155651;882,803735225066;883,4298612001476;899,8392264398408;920,8575326266878;936,4697915387432;941,0297217758957;958,0396731965861;995,9731116216667;1016,8683821514242;1059,6088099366468;1131,9055273251347;1207,483234796493;1274,965244839986;1372,6869082564256;1468,4717463108866;1508,8252027279789;1539,023797072099;1667,158121809646;1780,7525662418402;1836,1007733124857;1916,4337736201512;1963,1431466962658;"";"";"";""
"IDA total";"IDA";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;77,6347717185215;83,00020254156438;88,83749288497606;93,35855398285995;97,28413293029487;99,92109756386891;100,46709507132745;101,84730079377226;106,67687674441018;109,75699685662799;111,64953769589113;120,45339291291373;119,23423194576803;116,2171747765965;131,74249006636595;138,35367600496397;142,48998118736242;148,5505943221255;154,064624584334;276,36083276165914;275,8197354031543;269,7650027808946;257,7124398346828;253,4559985170567;253,1304314397951;252,19286770309344;249,29953631267074;241,74609888005992;247,46052499132404;251,20120917482498;257,2556143017314;264,2118528761175;272,21580611766603;285,99977112960045;295,8345996755627;306,0666255071672;307,3316890454659;298,416571679493;299,76921923441364;317,2031960358933;318,93485097263004;317,54546579866167;322,39917577646605;322,96777671872445;"";"";"";""
"IDA blend";"IDB";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;89,86691494282054;98,0214555657212;104,59802532776934;108,67079256635851;118,97616367921101;122,4517438238745;122,67660545952425;125,97860551746614;135,0706402946219;138,99603645360068;139,633868627815;157,86511188061658;160,4147759821639;156,54420896694023;187,1512339092285;196,1705685138483;202,96424009473972;212,7313744791009;221,7828951263962;421,4101414519563;424,7252639784569;413,1609891649507;400,0844770762139;389,0326668801981;384,6316617294231;380,76644912093786;377,48230901538324;362,4924637065245;360,7754486008773;363,5947174705687;364,31709467387066;375,3368172287821;384,2147553735465;396,5800268640101;408,161167132677;415,2624679667086;410,46921010698134;386,815553299087;384,5642921790024;394,1691454761952;392,15507124414574;390,4598883962518;400,055596476733;397,6210219913074;"";"";"";""
"Indonesia";"IDN";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;14,353562377731741;15,89855150809247;15,821295910351207;19,188177483437325;21,449222577404242;18,33288109489639;21,72961974738891;31,758960723922257;38,6848551916711;46,17226121921518;52,279663644132256;61,430108064487484;66,09739786999553;71,4447800539943;79,75999823156948;92,05681150115278;104,35475636463696;119,53642498785862;137,5125800218451;162,523825003844;177,9547177646248;194,3328091361519;212,8517154793519;240,0454271622016;263,62096671244507;297,2017760691295;331,2980201802678;331,11257792651253;357,0210179682571;390,4236556681215;411,46790477824015;417,4959579204045;428,85582916093364;474,37436156898843;500,65078149681466;516,0339127286775;546,1534689440304;570,060456424974;593,942945311046;635,9852761115709;680,281417214821;733,3718268214203;773,9874699452638;811,9069049475848;"";"";"";""
"IDA only";"IDX";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;70,39767579530074;74,09262653734211;79,46147036543111;84,21302819580806;84,26910378758551;86,333758413696;86,99904132723864;87,13136563259921;89,26954336000983;91,74652622864248;94,34289096866411;97,23873849179563;93,60458471695351;91,04384669210462;96,73696267800358;101,69853162589052;104,00899834605464;107,5760259378085;110,73407448720891;177,0238700446498;173,97125460847565;172,40343084562605;161,25318415764048;161,75989735109883;166,23784471370683;167,1866973725211;164,41315821915168;161,61564085956812;172,13049783201868;178,13607051986233;187,59679310476474;191,86825853319843;199,2705857477094;213,93131705270676;222,54862727366313;234,71694169976686;239,80973199563047;240,40470885139334;243,96598693516646;266,3549234904785;270,3594699492883;269,46077413138914;271,0036279644579;273,38686915379395;"";"";"";""
"Isle of Man";"IMN";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";""
"India";"IND";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;97,77271873056954;100,30507363252173;100,63215447196615;103,99265706158285;114,5589281379958;124,12369117080262;126,25673202164282;135,91764249891034;135,74177255677202;141,7077000977193;151,87905961566628;158,09991043586197;165,68748601785416;183,30187256708078;193,53485446953079;207,97649459613493;220,22074113800767;240,02562101020274;257,039736204873;272,06348374380633;290,89957757273953;304,43183119572456;320,55074689898316;341,23136125780195;358,7622121373091;359,8162725307251;375,4850521884788;385,8639877398869;392,03969223473837;393,64624743933007;393,8102014196585;410,64478315816547;430,48316410044987;451,6115501057726;468,02575279570584;509,2140547537337;541,7383947379353;561,2475800121443;598,4982428911576;640,3946031194821;696,8422411492442;723,2354612753109;764,1987416273013;804,5142280892788;"";"";"";""
"Not classified";"INX";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";""
"Ireland";"IRL";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";695,0434844092484;752,0181277439456;838,1375504663176;886,1935393406131;1041,6703005354868;1134,3968303617976;1238,2304070894488;1343,3478612896001;1498,516574917254;1608,783864422962;1750,9510524980979;1884,6610183653347;2021,173255182179;2143,262204507526;2246,0557768924305;2175,2284805066547;2377,6655703278207;2535,7991591006034;2693,520771379652;2935,012967765839;2868,3192686357243;2827,3964668404287;2794,193585403638;2852,7886970888167;2962,2726383561653;3114,964548588755;3271,4729255951793;3414,634284137233;3427,2836287844166;3598,1109703791703;3767,5292987369853;3897,8732314065137;4104,900194748808;4185,097228641869;4351,064203124678;4525,2755663106245;4787,890617482839;4976,632824111888;5201,610904851892;5433,864939306794;5796,055581163962;5896,939224978875;6035,686645827118;6092,5489944879555;6168,3989875836005;6241,7155739277305;6351,099110794646;6218,313403541124;6340,733045494153;5947,909489292506;5927,868679902328;5657,5381586887925;5651,008482817712;5698,75617887909;5672,064134107958;"";"";"";""
